#SEMS Sensor Voltages
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#--------------------------------------------------------
#Date	Time	Secs	SampLFEVolt	XsLFEVolt	ShLFEVolt	ImpdPVolt	PressVolt	RHVolt	TempVolt	BoardTempVolt
231031	18:15:03.123	0	1.46270129	1.60496303	1.51601363	3.25508585	4.10176803	0.03764873	3.33304269	4.55476722
231031	18:15:04.172	1	1.46177331	1.60999532	1.51703504	3.25466234	4.10232233	0.03825908	3.33353471	4.55420046
231031	18:15:05.172	2	1.45928208	1.60742312	1.51644960	3.25484295	4.10182408	0.03769855	3.33312365	4.55368976
231031	18:15:06.173	3	1.45881497	1.60938496	1.51385249	3.25468725	4.10169952	0.03775460	3.33336032	4.55321643
231031	18:15:07.173	4	1.45691541	1.60178671	1.52148188	3.25467479	4.10186145	0.03827776	3.33376515	4.55273687
231031	18:15:08.173	5	1.45348997	1.60622733	1.51833670	3.25529760	4.10222890	0.03799750	3.33286830	4.55203932
231031	18:15:09.175	6	1.45703997	1.60735461	1.51534100	3.25484918	4.10199847	0.03800995	3.33288699	4.55126081
231031	18:15:10.175	7	1.46088269	1.60434022	1.51504828	3.25463120	4.10177425	0.03772346	3.33293058	4.55035774
231031	18:15:11.175	8	1.46214699	1.60587233	1.51364073	3.25497374	4.10209811	0.03812206	3.33349734	4.54956677
231031	18:15:12.175	9	1.46651910	1.60831374	1.52515645	3.25473085	4.10154382	0.03825285	3.33385857	4.54852046
231031	18:15:13.175	10	1.46874875	1.60726119	1.51565240	3.25484295	4.10235969	0.03817811	3.33358453	4.54736204
231031	18:15:14.175	11	1.46006681	1.60414715	1.52103969	3.25484295	4.10159364	0.03801618	3.33348488	4.54621607
231031	18:15:15.175	12	1.46379120	1.60876839	1.51794434	3.25464988	4.10144417	0.03807846	3.33405164	4.54514484
231031	18:15:16.175	13	1.46673709	1.61108523	1.51976916	3.25467479	4.10138811	0.03797259	3.33314234	4.54381203
231031	18:15:17.185	14	1.46978884	1.61000154	1.51598249	3.25490523	4.10103311	0.03825908	3.33336655	4.54248545
231031	18:15:18.185	15	1.46686165	1.60998909	1.51585793	3.25504225	4.10184276	0.03809092	3.33339769	4.54113396
231031	18:15:19.193	16	1.46346112	1.60808952	1.51773881	3.25455646	4.10156250	0.03764250	3.33309874	4.53960808
231031	18:15:20.192	17	1.46781454	1.61206927	1.51775127	3.25464988	4.10183031	0.03800373	3.33327313	4.53825659
231031	18:15:21.192	18	1.46151173	1.60881821	1.51932074	3.25440699	4.10216040	0.03749302	3.33295550	4.53664974
231031	18:15:22.192	19	1.45904541	1.60860646	1.51704749	3.25494883	4.10169952	0.03776083	3.33314857	4.53513009
231031	18:15:23.194	20	1.46075813	1.60614636	1.51707241	3.25469348	4.10213548	0.03779820	3.33349111	4.53353570
231031	18:15:24.194	21	1.46000453	1.60555470	1.52022381	3.25478067	4.10229119	0.03773592	3.33296795	4.53188526
231031	18:15:25.195	22	1.46252068	1.60810198	1.51679837	3.25501734	4.10245934	0.03779197	3.33308006	4.53020991
231031	18:15:26.195	23	1.46303138	1.60592215	1.52076565	3.25452532	4.10177425	0.03772346	3.33269392	4.52852833
231031	18:15:27.202	24	1.46222173	1.60543636	1.51770144	3.25458137	4.10159364	0.03829645	3.33296795	4.52679070
231031	18:15:28.210	25	1.46630112	1.61101672	1.52009302	3.25418900	4.10189882	0.03815943	3.33372155	4.52514648
231031	18:15:29.210	26	1.46134980	1.60885558	1.51705372	3.25497997	4.10155627	0.03747434	3.33266278	4.52334657
231031	18:15:30.210	27	1.46468805	1.60665707	1.51897197	3.25431357	4.10156250	0.03766741	3.33351602	4.52172727
231031	18:15:31.210	28	1.46577796	1.60734838	1.52171232	3.25429488	4.10157496	0.03767987	3.33298664	4.51985885
231031	18:15:32.213	29	1.46894182	1.60709303	1.51466214	3.25466857	4.10155004	0.03804110	3.33312365	4.51838902
231031	18:15:33.213	30	1.47069814	1.60840093	1.51778863	3.25442567	4.10171820	0.03755531	3.33301778	4.51678218
231031	18:15:34.213	31	1.46371647	1.60726119	1.51762670	3.25454401	4.10148776	0.03832759	3.33379629	4.51534349
231031	18:15:35.213	32	1.46515515	1.60769716	1.52340013	3.25501111	4.10145039	0.03838987	3.33367795	4.51398577
231031	18:15:36.213	33	1.47075420	1.60521215	1.51979407	3.25476822	4.10222268	0.03746188	3.33308629	4.51257822
231031	18:15:37.212	34	1.46135603	1.60605917	1.51934565	3.25473085	4.10171197	0.03830267	3.33377137	4.51151322
231031	18:15:38.213	35	1.47098463	1.61550094	1.52227908	3.25459383	4.10145039	0.03782311	3.33323576	4.51023024
