Sample File,D:\rawdata\rawdata_2021_01_SPL\SMPS_20220105_1116mst.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3010
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,Scan Up Time(s),Retrace Time(s),Down Scan First,Scans Per Sample,Impactor Type(cm),Sheath Flow(lpm),Aerosol Flow(lpm),CPC Inlet Flow(lpm),CPC Sample Flow(lpm),Low Voltage,High Voltage,Lower Size(nm),Upper Size(nm),Density(g/cc),Title,Status Flag,td(s),tf(s),D50(nm),Median(nm),Mean(nm),Geo. Mean(nm),Mode(nm),Geo. Std. Dev.,Total Conc.(#/cm³),Comment
22042,03/23/22,00:03:41,21.8,65.0,1.042800e-007,1.826716e-005,,0,0,0,0,0,197.349,165.19,0,119.149,205.893,537.777,1100.46,731.2,1264.1,1272.09,1045.53,945.511,705.087,750.964,1029.85,1136.8,1121.59,798.448,811.939,552.977,936.257,772.25,753.779,970.894,991.501,821.234,912.458,994.252,1101.62,1059.47,1051.01,1110,874.964,772.121,923.254,830.352,704.077,543.343,532.085,413.761,340.885,192.353,203.852,149.168,199.121,97.9716,106.363,154.991,153.83,145.934,233.501,232.727,184.466,155.427,160.15,190.965,210.829,258.099,297.7,253.898,288.489,330.759,301.084,365.322,304.885,315.507,288.473,305.216,231.64,195.869,192.862,249.229,260.072,201.171,204.748,175.09,238.277,136.991,111.763,138.513,83.9202,109.322,121.744,33.8008,81.0674,35.7504,20.1837,31.8373,15.7913,5.33835,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.673,9855.99,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.182,28.1484,43.6574,32.2018,15.1247,2.04694,638.399,
22043,03/23/22,00:08:40,21.8,64.9,1.044406e-007,1.826716e-005,,0,0,0,0,0,0,0,139.885,0,0,89.7529,865.782,695.574,534.916,817.785,1075.47,585.939,662.72,853.13,1087.34,1063.43,978.252,824.356,778.284,686.882,787.487,885.758,771.547,1064.1,516.136,673.9,963.984,852.055,810.815,982.204,1129.77,1156.65,1147.19,1030.99,927.985,740.158,589.793,597.713,440.377,322.472,258.539,266.625,214.363,199.551,160.559,146.37,112.127,137.204,118.825,122.51,80.368,152.51,103.625,209.588,152.934,234.367,185.909,185.675,245.477,339.798,348.205,333.769,382.287,350.268,326.903,391.164,310.955,336.524,325.825,337.661,283.029,295.786,226.807,230.971,237.514,202.594,146.391,153.754,165.271,92.9477,107.392,104.816,71.4689,71.1985,33.6003,20.432,25.8819,10.4397,15.7937,16.0175,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6568,9848.78,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.018,30.2327,46.9183,34.8112,33.3762,2.04897,589.268,
22044,03/23/22,00:13:40,21.7,65.0,1.042511e-007,1.826237e-005,,0,0,0,0,0,0,0,0,238.234,205.841,896.08,78.5859,972.367,827.438,696.483,846.219,810.294,746.247,825.571,1014.8,788.091,714.964,755.608,822.32,893.441,948.449,942.425,746.502,739.741,982.018,874.202,1071.14,1079.85,814.663,1103.45,1130.75,995.607,1097.65,1117.61,871.307,764.166,655.2,517.612,335.643,361.668,248.236,249.078,149.799,114.92,124.55,105.675,54.4646,101.723,104.178,152.435,134.362,196.023,186.525,139.293,151.405,241.164,232.721,235.929,248.013,329.95,258.245,407.918,293.789,325.951,370.892,273.395,309.865,265.613,261.247,320.133,288.952,284.883,229.934,188.236,195.393,181.404,105.471,167.408,127,156.619,98.8299,98.0943,81.553,58.8758,52.862,23.3219,35.7559,16.1332,5.26366,16.0147,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6732,9854.71,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.163,29.0698,45.3157,33.6499,32.1968,2.03663,598.152,
22045,03/23/22,00:18:41,21.8,65.0,1.042961e-007,1.826716e-005,,0,0,0,0,0,0,0,139.686,476.667,308.884,448.209,393.071,555.828,864.461,536.244,910.998,1497.18,1022.38,1423.59,947.111,1008.23,818.397,800.194,931.906,748.017,534.817,780.669,896.6,986.982,870.489,989.264,893.928,1139.28,1222.57,824.732,1097.81,896.415,898.849,909.217,1095.97,714.966,803.899,539.732,422.166,350.52,360.424,266.994,97.3948,193.785,105.569,93.0872,121.192,81.2171,99.5188,141.156,94.9131,223.259,135.609,184.474,134.784,215.345,229.982,320.966,335.539,328.506,239.511,310.813,301.674,283.761,310.761,297.287,348.271,267.395,312.35,319.894,226.978,297.472,262.732,249.206,235.344,233.248,185.762,167.274,148.638,95.8195,115.142,80.5776,108.679,77.554,28.2422,21.6584,39.6153,21.4253,8.87974,17.6866,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6714,9855.27,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.166,28.6246,45.0059,33.142,16.2531,2.05389,626.208,
22046,03/23/22,00:23:41,21.6,65.0,1.042061e-007,1.825759e-005,,0,0,0,0,239.221,0,165.063,139.563,238.134,308.638,716.593,549.904,555.448,802.19,870.332,1057.76,1266.74,852.461,1021.97,1116.67,1166.1,1222.52,971.384,1035.85,847.582,796.664,942.216,864.329,818.518,901.165,894.329,1050.53,1009.27,1164.17,1033.24,893.356,911.37,1023.61,1028.9,778.422,642.334,663.602,580.939,464.785,251.628,277.625,220.313,169.569,212.348,109.731,74.0632,131.295,132.483,115.464,175.797,71.8226,167.94,169.304,141.137,187.564,254.811,249.418,340.641,278.084,221.111,205.9,296.925,257.33,319.653,334.636,303.913,309.348,275.987,301.593,247.608,227.335,250.395,185.565,232.205,198.869,164.97,137.844,158.655,92.3299,92.2701,98.3238,92.7493,73.5486,82.7527,38.1945,15.3207,20.7012,25.0776,22.0787,5.33805,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6749,9854.15,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.16,27.336,42.4647,31.5314,16.2531,2.02267,634.772,
22047,03/23/22,00:28:41,21.8,65.1,1.042319e-007,1.826716e-005,,0,0,0,0,0,197.246,0,0,238.19,102.902,627.148,892.142,600.387,1278.01,845.519,946.997,1169.03,746.401,924.198,1007.57,900.127,993.537,1021.95,538.486,793.556,892.247,710.593,817.135,759.351,1218.1,1062.58,1030.36,881.614,904.722,940.746,883.367,1218.18,1000.03,989.585,751.879,784.413,647.183,477.66,506.529,327.103,286.743,264.709,214.734,159.438,79.7374,126.981,134.535,113.876,126.841,109.639,123.849,128.06,108.854,278.049,148.768,231.01,165.701,228.159,256.833,301.819,242.626,262.261,279.86,393.031,245.679,301.759,252.979,342.495,265.423,250.865,321.399,233.386,255.239,207.533,171.502,119.28,205.706,153.636,126.088,117.417,107.648,68.0021,43.5719,65.3531,47.8294,18.1787,31.0521,20.8752,10.527,4.46073,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6779,9858.15,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.231,27.7849,43.3304,32.1639,14.5902,2.02913,615.324,
22048,03/23/22,00:33:41,21.7,65.0,1.042511e-007,1.826237e-005,,0,0,0,0,0,197.287,0,139.624,357.351,411.681,372.401,616.437,555.638,845.809,956.514,1045.33,810.294,899.618,933.869,787.201,709.433,1240.55,1173.41,614.837,857.823,678.759,979.83,762.957,655.694,953.988,1051.93,964.597,976.128,855.947,984.326,1118.59,1162.36,932.031,1091.12,873.134,787.62,555.378,657.289,498.759,294.384,266.441,235.258,185.035,164.937,92.0092,124.988,98.6031,73.3729,144.579,136.289,147.843,207.429,94.2975,197.183,244.656,174.228,211.992,211.694,210.352,225.151,298.253,295.199,266.322,288.931,239.389,207.286,306.324,267.628,292.74,205.914,238.92,286.029,181.7,176.156,245.582,158.534,208.957,158.453,111.608,95.0145,113.766,88.998,77.8619,62.4514,45.5994,35.7497,41.4039,10.4379,8.93857,12.2877,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6732,9854.71,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.163,28.2292,43.4426,32.2755,19.4564,2.02391,606.761,
22049,03/23/22,00:38:41,21.8,65.0,1.043442e-007,1.826716e-005,,0,0,0,0,239.601,0,0,0,119.221,515.029,627.752,261.839,533.145,617.695,1106.68,1045.99,585.565,918.051,904.43,745.348,1232.19,1093.2,972.049,894.548,942.025,494.163,744.975,821.285,903.893,833.923,968.023,977.209,891.134,813.853,1012.69,955.967,1099.15,728.057,876.488,905.808,686.355,727.757,563.221,477.338,399.855,309.222,203.379,116.45,201.808,225.083,105.571,54.2992,40.2779,152.303,177.509,102.751,142.872,172.885,209.276,218.715,191.076,199.277,354.113,301.439,338.915,334.866,311.912,339.416,309.598,244.387,305.814,305.592,266.734,330.613,273.069,238.096,176.922,217.275,213.559,181.102,145.223,171.464,127.292,77.2989,118.907,126.933,97.41,48.915,50.2772,45.6032,5.10751,40.7862,16.2844,21.0563,5.33867,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6666,9853.1,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.117,28.3942,44.276,32.9707,18.7688,2.03162,596.868,
22050,03/23/22,00:43:40,21.7,65.0,1.043313e-007,1.826237e-005,,0,0,0,0,239.565,0,0,139.735,357.62,707.645,639.282,393.188,486.489,864.7,829.941,846.688,945.846,777.339,1245.37,687.721,996.39,1122.13,868.13,936.594,800.761,983.424,788.534,816.803,721.506,897.695,858.401,963.769,898.969,952.863,1282.1,1007.07,964.895,1135.91,1011.93,1006.95,777.642,799.646,655.716,366.458,305.705,231.667,310.211,179.029,166.341,151.197,88.5536,67.3536,81.8619,34.3288,65.306,128.018,131.048,217.637,156.254,238.516,223.205,258.068,229.922,254.843,319.641,442.195,297.006,310.214,168.984,276.326,234.815,247.96,219.529,335.733,255.299,285.227,248.155,250.282,186.881,195.672,205.995,129.101,139.945,122.613,87.4202,99.2188,83.8765,56.4791,56.0938,40.4953,19.5343,40.2227,20.8773,0,16.0159,0,0,0,0,0,0,0,280,10,FALSE,1,0.0457,10,1,1,1,10.6651,9851.1,8.97687,352.269,1.2,,Normal Scan,1.779,2.25624,265.081,28.3169,43.069,32.1033,31.059,2.02085,620.098,
