#Inverted Scan Results
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#DMA Dims: 
#Center Rod OD(m): 0.031200
#Shell ID(m): 0.036130
#Length(m): 0.339000
#--------------------------------------------------------
#Transformations/Corrections
#Plumbing Delay Time: 4.200000
#Desmearing: N = N0 * exp( -t / tau )
#Tau: 0.250
#CPC Counting Efficiency: nu = 1 - (C0 / (1 + exp((Dp - C1)/C2)))
#C0 = 1.150000
#C1 = 11.300000
#C2 = 2.100000
#--------------------------------------------------------
#Scanning Configuration
#CPC Flow Type: Measured CPC Flow
#CPC Fixed Detector Flow: 0.30
#--------------------------------------------------------
#Status Flags
#NumFlag: 0 - OK, 999 - DNE, nnn - (?)
#
#--------------------------------------------------------
#StartDate	StartTime	EndDate	EndTime	StartSecs	EndSecs	Temp(K)	Press(hPa)	NumBins	Bin1_10.16	Bin2_10.49	Bin3_10.82	Bin4_11.17	Bin5_11.53	Bin6_11.90	Bin7_12.28	Bin8_12.68	Bin9_13.09	Bin10_13.51	Bin11_13.94	Bin12_14.40	Bin13_14.86	Bin14_15.34	Bin15_15.84	Bin16_16.35	Bin17_16.88	Bin18_17.43	Bin19_17.99	Bin20_18.57	Bin21_19.18	Bin22_19.80	Bin23_20.45	Bin24_21.11	Bin25_21.80	Bin26_22.51	Bin27_23.25	Bin28_24.01	Bin29_24.79	Bin30_25.61	Bin31_26.45	Bin32_27.31	Bin33_28.21	Bin34_29.14	Bin35_30.10	Bin36_31.10	Bin37_32.13	Bin38_33.19	Bin39_34.29	Bin40_35.43	Bin41_36.61	Bin42_37.83	Bin43_39.10	Bin44_40.41	Bin45_41.76	Bin46_43.17	Bin47_44.62	Bin48_46.13	Bin49_47.69	Bin50_49.31	Bin51_50.98	Bin52_52.72	Bin53_54.52	Bin54_56.39	Bin55_58.33	Bin56_60.34	Bin57_62.43	Bin58_64.59	Bin59_66.84	Bin60_69.18	Bin61_71.60	Bin62_74.12	Bin63_76.74	Bin64_79.46	Bin65_82.29	Bin66_85.24	Bin67_88.30	Bin68_91.49	Bin69_94.80	Bin70_98.26	Bin71_101.86	Bin72_105.61	Bin73_109.52	Bin74_113.60	Bin75_117.86	Bin76_122.30	Bin77_126.94	Bin78_131.79	Bin79_136.85	Bin80_142.15	Bin81_147.69	Bin82_153.49	Bin83_159.56	Bin84_165.93	Bin85_172.59	Bin86_179.59	Bin87_186.92	Bin88_194.62	Bin89_202.71	Bin90_211.21	Bin91_220.14	Bin92_229.54	Bin93_239.44	Bin94_249.85	Bin95_260.82	Bin96_272.39	Bin97_284.59	Bin98_297.45	Bin99_311.03	Bin100_325.37	Bin101_340.52	Bin102_356.53	Bin103_373.46	Bin104_391.36	Bin105_410.30	Bin106_430.34	Bin107_451.56	Bin108_474.03	Bin109_497.83	Bin110_523.04	Bin111_549.76	Bin112_578.09	Bin113_608.12	Bin114_639.96	Bin115_673.74	Bin116_709.57	Bin117_747.59	Bin118_787.94	Bin119_830.76	Bin120_876.23	NumFlag
231031	18:15:23.757	231031	18:17:23.748	21	141	26.490	950.521	120	3420.58	3734.03	3931.78	4285.83	4785.94	5211.06	5268.06	4873.85	4272.60	3827.94	3760.99	4106.44	4786.17	5649.61	6422.93	6777.77	6717.27	6708.59	7177.82	7989.92	8548.47	8733.28	9211.15	10457.97	12012.68	12841.21	12669.16	12648.49	13986.12	16129.58	17227.65	17045.35	17272.03	18938.52	21684.38	23692.69	23181.99	22953.61	25254.42	27887.39	30067.61	32229.90	32671.72	32868.48	35450.00	38604.59	38953.14	39872.12	43913.64	45240.86	46239.88	47895.46	48281.58	50674.20	52528.16	50908.68	50761.38	49602.70	50528.73	52279.97	50352.99	48915.17	49036.42	47895.21	45138.51	42063.32	41833.62	41722.89	39969.75	35038.72	32446.79	32587.17	30219.92	33671.06	33991.86	31547.75	27432.75	28020.87	31142.28	32206.87	33388.63	31906.87	27556.64	21712.79	19280.14	20543.98	20651.60	19030.09	16269.33	12139.91	8732.44	4561.59	2873.65	3003.38	5532.21	17202.01	40744.48	60474.39	73052.66	67931.15	48048.68	31763.35	18487.14	9178.38	5363.63	3381.23	3259.09	4331.26	5111.66	3996.63	3495.25	2421.18	1041.61	542.10	457.46	490.19	136.88	34.25	157.63	77.70	0
231031	18:17:47.862	231031	18:19:47.858	165	285	26.466	950.415	120	3159.37	3015.60	4087.27	4818.65	5183.06	5336.76	5346.21	5206.69	4998.48	4886.98	4944.24	5049.88	5048.12	4945.73	4856.21	4877.03	5118.77	5683.88	6476.23	7140.36	7514.08	8066.04	9179.75	10343.19	11042.74	11890.38	13214.68	14357.91	15183.52	15898.18	16213.41	16797.10	18398.39	20293.99	21057.08	21117.08	23213.38	26595.63	27721.17	28408.51	29796.26	29939.27	31497.24	32851.97	32848.97	36334.22	38330.20	37851.80	39612.10	41868.67	43626.08	44671.76	45577.47	46407.03	46156.82	47093.80	49093.31	50892.83	50109.76	54196.07	53978.99	50493.50	48187.22	44805.96	43748.55	43132.88	41691.31	39140.19	37680.04	31840.54	34578.53	32434.63	36885.01	36445.42	34801.38	31460.89	27405.51	26126.54	27194.69	31262.51	31840.73	29377.42	25640.83	20579.79	20773.91	21115.16	20380.08	19801.21	18840.94	14031.73	9938.76	6253.27	3858.99	3109.18	5901.98	18149.35	39104.25	62219.36	72902.43	68268.13	47841.06	30071.61	16786.55	9125.37	5836.74	3570.41	2698.44	3306.43	4627.42	4165.94	3149.61	1438.42	1009.10	601.28	536.62	359.14	235.85	224.78	62.12	58.30	0
231031	18:20:11.965	231031	18:22:11.968	309	429	26.455	950.511	120	7291.97	8002.41	7251.37	6337.08	5376.83	4597.65	4178.56	4153.40	4396.36	4713.25	4961.93	5073.22	5027.45	4903.05	4873.84	5070.76	5554.36	6386.57	7467.70	8367.67	8732.85	8759.77	8792.58	9051.57	9983.58	12063.36	14492.67	15392.67	14657.90	14021.72	14551.29	15970.48	17511.27	19085.68	21431.74	23555.15	23757.11	24485.96	27037.65	29302.56	31065.86	32441.37	33273.56	34834.62	36850.88	38143.57	40412.24	41480.42	41738.99	42380.16	44951.39	47878.62	47918.56	47875.31	49415.92	48505.99	47098.50	48811.16	50357.77	51081.66	52832.49	50063.21	47126.57	47528.52	45807.05	46552.90	45463.66	43382.42	38850.88	36612.29	36634.99	35406.63	34316.29	35955.79	32048.60	30834.88	30856.82	27673.98	28863.90	30873.96	33176.87	33095.38	27237.82	20676.43	21683.90	23658.16	25327.43	23842.45	19942.16	16333.91	12696.32	7650.79	3905.74	3666.30	7276.22	20093.63	37902.27	61023.07	74393.81	66100.27	46664.94	32120.27	17603.53	10592.59	5481.44	3070.19	2597.24	3497.24	3810.38	3624.72	3009.17	1071.64	587.13	234.54	398.96	410.90	213.38	332.68	76.72	57.90	0
231031	18:22:36.078	231031	18:24:36.083	453	573	26.435	950.417	120	7145.41	7368.59	6523.60	5940.70	5641.67	5455.18	5259.88	5029.63	4781.73	4578.09	4466.42	4424.22	4408.08	4513.98	4953.89	5805.99	6829.31	7542.95	7696.56	7641.66	7942.76	8795.73	9750.65	10256.04	10502.03	11103.43	12314.28	13682.46	15083.17	16876.54	18452.55	19452.92	20586.91	21894.61	22498.43	23233.30	25760.26	28023.02	27012.32	26622.12	30856.78	34567.88	34071.72	34225.12	35305.43	36483.99	40160.20	40913.30	41338.65	43762.25	45823.24	47474.99	48298.86	50519.05	53224.56	50885.04	47354.77	50035.90	51154.73	50535.06	49539.02	49384.89	47012.91	47039.31	48432.25	47355.53	43283.66	42326.72	41253.58	37798.44	36200.26	34462.05	33798.13	35368.46	35001.89	31128.95	31438.97	28104.94	28422.75	31550.96	32987.19	33022.69	26099.18	21490.21	19329.21	20022.26	20520.26	22393.30	20091.52	15331.79	10676.07	6659.61	4263.19	4177.95	7186.87	16972.94	40544.63	61328.13	70400.53	65854.64	47402.11	33812.84	19663.36	9710.91	5916.86	3928.15	2984.95	3203.95	4999.13	3769.93	3194.02	1893.51	914.24	547.04	365.28	169.72	221.69	199.39	40.96	5.39	0
231031	18:25:00.193	231031	18:27:00.195	597	717	26.412	950.458	120	7046.85	7546.17	6556.28	5675.03	5022.23	4626.64	4408.62	4239.64	4075.71	3978.30	3973.91	3991.92	3976.83	4005.68	4224.04	4727.91	5535.34	6520.87	7310.20	7577.44	7667.47	8289.82	9573.20	11022.25	12169.90	13114.89	14118.46	14922.20	15221.22	15556.25	16922.90	19208.62	21415.54	23383.32	24749.90	24420.52	23573.56	24717.11	27277.00	28911.48	30296.23	32413.12	33819.28	34148.55	35653.22	39005.12	40350.96	41288.66	41667.12	41604.13	42420.06	44916.30	46813.32	49133.65	49786.21	51540.26	50666.08	54057.69	57616.11	54979.51	54723.19	54407.00	54407.02	51001.54	47072.40	48224.70	42988.93	42028.12	39703.71	36910.56	34052.27	36365.87	38649.88	35738.99	35325.53	31006.84	31225.77	28995.79	30330.49	32069.83	32074.74	33180.79	28002.80	21229.33	21184.50	22315.74	24783.85	24756.46	19801.98	15676.01	10671.15	6076.28	4027.26	4348.13	6070.95	17347.98	37584.21	61411.90	73498.74	67506.95	49807.95	31643.16	18237.92	9933.42	6239.27	2752.77	3720.83	4089.52	4663.98	3670.90	2798.97	1762.13	449.38	586.24	773.44	398.76	164.58	80.64	134.43	18.44	0
231031	18:27:24.307	231031	18:29:24.306	742	862	26.409	950.604	120	2208.41	2063.78	2907.14	3777.76	4616.84	5205.54	5305.98	4937.05	4398.17	4000.95	3931.87	4208.82	4651.85	5008.29	5245.93	5548.47	6031.69	6648.09	7249.82	7612.15	7639.78	7705.24	8208.07	9024.83	9942.67	11218.32	12955.83	14377.35	14636.24	14337.90	14894.69	16789.12	19050.79	20696.30	21733.00	22751.64	24186.33	25943.83	28263.17	30151.38	30477.61	28989.20	27230.35	27257.49	29868.46	34058.13	38195.04	41527.81	40805.77	40652.88	41817.84	43309.53	44099.67	44213.12	43783.88	49945.58	53104.36	52352.23	55076.31	51120.83	53844.64	54517.47	47695.84	48707.64	49135.27	45931.29	44152.33	41760.10	36851.33	35329.81	35153.62	33348.54	37888.60	35243.59	34359.17	34295.79	34255.16	31391.69	32262.48	35523.92	36315.22	34053.78	30792.82	24445.10	20811.07	23654.21	23256.48	25116.91	18546.70	13154.91	11376.66	8653.37	5734.11	4079.36	6781.74	17969.24	40607.33	63940.04	77308.55	68125.98	48837.00	33299.19	19291.92	11030.60	6025.11	3592.56	4514.76	5593.17	4698.33	4794.93	2871.07	1847.37	956.91	858.19	510.44	478.79	310.43	381.14	36.52	3.90	0
231031	18:29:48.421	231031	18:31:48.425	886	1006	26.393	950.543	120	3069.31	3064.89	3698.56	4164.75	4427.35	4493.56	4449.57	4386.21	4318.85	4231.96	4148.30	4084.33	4035.02	4010.01	4055.48	4285.34	4841.76	5713.47	6560.41	6971.25	7129.46	7593.95	8258.38	8591.81	8864.21	9770.90	11242.84	12805.06	14234.79	15420.04	16866.49	18608.35	19062.85	18788.38	19603.94	21081.03	23171.34	24317.14	23774.74	25051.99	27747.74	30125.38	32116.13	34019.29	35326.15	35686.98	36063.56	36839.72	38378.43	40606.13	46649.56	45920.12	43297.34	46840.44	47520.93	47800.05	51624.72	54596.49	52381.14	53779.10	56039.11	52494.93	53736.62	51528.65	49077.74	47215.39	48887.47	44858.98	38304.48	39739.45	38185.62	39118.75	35171.83	35891.55	31266.66	32401.67	30943.66	29212.76	31251.98	32137.93	36116.39	31657.87	26809.49	21819.62	22393.41	24463.37	24428.48	23870.81	19768.04	14427.84	11459.88	7823.96	4568.72	4487.12	6657.02	18111.31	42125.47	61065.95	74766.19	66047.81	51589.09	30456.40	16158.09	10412.55	5387.51	4038.52	3291.98	5366.56	5474.21	5469.93	3337.54	2522.19	988.54	712.88	447.54	480.08	87.13	52.26	46.36	5.71	0
231031	18:32:12.527	231031	18:34:12.530	1030	1150	26.397	950.610	120	3677.91	3642.22	4021.42	4355.50	4552.52	4514.10	4243.78	3891.65	3667.83	3712.03	4011.93	4383.25	4562.72	4431.31	4149.52	4021.32	4277.30	4994.03	6061.14	7104.33	7650.58	7696.64	7768.53	8380.61	9641.38	10949.31	11368.87	11189.52	11709.87	13250.43	15196.60	17237.80	19179.68	20490.57	21179.77	21792.41	22451.58	23612.76	25457.75	27668.77	29305.06	29548.75	30406.01	31749.85	32354.66	33497.72	35021.64	36628.75	38875.13	41061.69	41779.43	41299.31	42465.29	45232.85	47935.12	47868.02	48054.57	51096.70	53074.12	51740.65	51028.76	50249.99	49308.34	46326.89	45118.06	47243.87	43881.59	40797.79	37715.29	39505.07	39421.33	37685.16	39304.44	38371.73	36374.68	34402.81	31547.80	29791.44	31325.89	31404.90	31401.84	30866.52	26002.48	21884.67	20630.32	22037.38	23008.08	22226.94	19809.63	15276.35	12441.49	9413.27	7119.52	5338.14	8463.43	19445.94	42327.31	64157.66	74729.19	69897.82	51227.54	33389.89	19321.76	11068.81	6221.59	4025.70	3559.97	5175.91	5016.58	5443.79	3707.09	2149.52	1113.85	962.37	976.84	598.38	437.37	193.89	204.87	233.67	0
231031	18:34:36.644	231031	18:36:36.642	1174	1294	26.396	950.813	120	3006.68	3156.43	3651.00	4088.98	4357.20	4371.83	4228.19	4147.47	4252.96	4487.85	4718.42	4879.48	4988.19	5072.56	5202.98	5510.29	5984.43	6418.84	6773.99	7247.73	7871.84	8393.56	8508.30	8432.21	8797.58	9760.03	11007.91	12292.16	13374.50	14942.52	17134.22	17981.18	17332.95	17016.47	18815.38	21831.96	22464.93	21849.17	23198.45	27229.63	30909.86	31705.42	30601.50	31051.30	33784.49	36855.22	37668.98	35632.89	34403.24	37272.39	39222.03	41232.98	43454.90	43814.22	43075.98	45582.69	47797.50	48046.90	48135.20	47173.35	47385.91	44031.72	41935.04	45679.41	44198.07	46894.48	47023.44	41234.57	39006.72	38837.81	38553.31	36702.43	39849.73	38185.91	34037.77	32496.40	31073.10	30894.46	30808.00	37439.13	35344.68	31296.65	26238.27	20419.48	17734.59	23119.49	25612.06	24380.05	21858.00	16604.83	11932.65	8609.03	5834.21	4102.79	7136.94	18715.20	41606.58	66640.85	79448.28	73883.60	56351.22	33978.33	19669.87	11138.24	5667.66	4576.70	4402.78	5222.33	6441.87	5325.08	3694.40	2116.54	1208.25	921.50	867.12	263.23	232.14	153.86	208.03	27.33	0
231031	18:37:00.744	231031	18:39:00.751	1318	1438	26.414	950.656	120	6434.44	7018.27	5640.84	4516.56	3854.93	3755.58	4158.76	4828.25	5301.00	5186.30	4620.91	4093.98	3984.80	4333.86	4936.92	5584.62	6117.23	6433.33	6689.61	7220.69	7914.91	8219.53	8050.02	8237.82	9503.12	11344.18	12455.67	12896.78	13700.07	14901.66	15951.47	16447.08	16631.64	17484.00	19609.87	21796.66	22300.69	22687.46	24253.84	26537.71	28108.17	28034.38	28594.69	30311.68	32301.40	33908.38	34401.71	36455.25	37995.17	40248.33	41847.91	39320.76	40610.47	42603.96	43666.69	43338.24	45682.55	46495.61	46643.40	46717.35	44652.98	45403.20	43716.50	45203.41	44697.56	42911.55	38167.94	36020.35	32948.77	34046.79	34290.17	35183.88	37745.87	36351.08	34275.34	31348.59	30476.24	29835.65	32383.90	32789.80	36019.22	32254.17	26509.28	19862.85	20133.48	21912.38	24812.27	22950.84	22277.08	16426.61	10696.36	7609.92	5316.13	5242.21	7689.16	19091.58	39757.37	64403.42	74254.57	68995.66	51845.75	29402.52	19378.73	11075.24	6645.13	3384.74	4029.38	6236.12	4841.57	5435.44	4343.37	2411.91	912.10	803.50	503.80	494.92	256.79	143.93	85.46	181.74	0
