#Raw Scan Results
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#DMA Dims: 
#Center Rod OD(m): 0.031200
#Shell ID(m): 0.036130
#Length (m): 0.339000
#--------------------------------------------------------
#Scanning Configuration
#CPC Flow Type: Measured CPC Flow
#CPC Fixed Detector Flow: 0.30
#--------------------------------------------------------
#Status Flags
#CPCFlowOK: 0 - OK, 1 - Samp Sdev > 5% (?)
#CPCFillOK: 0 - OK, 1 - Butanol empty (?)
#ShFlowOK: 0 - OK, 1 - Sh Sdev > 2% (?)
#NumFlag: 0 - OK, 999 - DNE, nnn - (?)
#
#--------------------------------------------------------
#StartDate	StartTime	EndDate	EndTime	StartSecs	EndSecs	Temp(K)	Press(hPa)	SampAvg	ShAvg	SampRH	ShRH	NumBins	BinDia1	BinDia2	BinDia3	BinDia4	BinDia5	BinDia6	BinDia7	BinDia8	BinDia9	BinDia10	BinDia11	BinDia12	BinDia13	BinDia14	BinDia15	BinDia16	BinDia17	BinDia18	BinDia19	BinDia20	BinDia21	BinDia22	BinDia23	BinDia24	BinDia25	BinDia26	BinDia27	BinDia28	BinDia29	BinDia30	BinDia31	BinDia32	BinDia33	BinDia34	BinDia35	BinDia36	BinDia37	BinDia38	BinDia39	BinDia40	BinDia41	BinDia42	BinDia43	BinDia44	BinDia45	BinDia46	BinDia47	BinDia48	BinDia49	BinDia50	BinDia51	BinDia52	BinDia53	BinDia54	BinDia55	BinDia56	BinDia57	BinDia58	BinDia59	BinDia60	BinDia61	BinDia62	BinDia63	BinDia64	BinDia65	BinDia66	BinDia67	BinDia68	BinDia69	BinDia70	BinDia71	BinDia72	BinDia73	BinDia74	BinDia75	BinDia76	BinDia77	BinDia78	BinDia79	BinDia80	BinDia81	BinDia82	BinDia83	BinDia84	BinDia85	BinDia86	BinDia87	BinDia88	BinDia89	BinDia90	BinDia91	BinDia92	BinDia93	BinDia94	BinDia95	BinDia96	BinDia97	BinDia98	BinDia99	BinDia100	BinDia101	BinDia102	BinDia103	BinDia104	BinDia105	BinDia106	BinDia107	BinDia108	BinDia109	BinDia110	BinDia111	BinDia112	BinDia113	BinDia114	BinDia115	BinDia116	BinDia117	BinDia118	BinDia119	BinDia120	BinCnt1	BinCnt2	BinCnt3	BinCnt4	BinCnt5	BinCnt6	BinCnt7	BinCnt8	BinCnt9	BinCnt10	BinCnt11	BinCnt12	BinCnt13	BinCnt14	BinCnt15	BinCnt16	BinCnt17	BinCnt18	BinCnt19	BinCnt20	BinCnt21	BinCnt22	BinCnt23	BinCnt24	BinCnt25	BinCnt26	BinCnt27	BinCnt28	BinCnt29	BinCnt30	BinCnt31	BinCnt32	BinCnt33	BinCnt34	BinCnt35	BinCnt36	BinCnt37	BinCnt38	BinCnt39	BinCnt40	BinCnt41	BinCnt42	BinCnt43	BinCnt44	BinCnt45	BinCnt46	BinCnt47	BinCnt48	BinCnt49	BinCnt50	BinCnt51	BinCnt52	BinCnt53	BinCnt54	BinCnt55	BinCnt56	BinCnt57	BinCnt58	BinCnt59	BinCnt60	BinCnt61	BinCnt62	BinCnt63	BinCnt64	BinCnt65	BinCnt66	BinCnt67	BinCnt68	BinCnt69	BinCnt70	BinCnt71	BinCnt72	BinCnt73	BinCnt74	BinCnt75	BinCnt76	BinCnt77	BinCnt78	BinCnt79	BinCnt80	BinCnt81	BinCnt82	BinCnt83	BinCnt84	BinCnt85	BinCnt86	BinCnt87	BinCnt88	BinCnt89	BinCnt90	BinCnt91	BinCnt92	BinCnt93	BinCnt94	BinCnt95	BinCnt96	BinCnt97	BinCnt98	BinCnt99	BinCnt100	BinCnt101	BinCnt102	BinCnt103	BinCnt104	BinCnt105	BinCnt106	BinCnt107	BinCnt108	BinCnt109	BinCnt110	BinCnt111	BinCnt112	BinCnt113	BinCnt114	BinCnt115	BinCnt116	BinCnt117	BinCnt118	BinCnt119	BinCnt120	SatTemp(K)	CondTemp(K)	SampSdev	ShSdev	CPCFlowOK	CPCFillOK	ShFlowOK	NumFlag
231031	18:15:23.757	231031	18:17:23.748	21	141	299.640	950.521	0.304	5.003	-1.000	0.758	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.40	14.86	15.34	15.84	16.35	16.88	17.43	17.99	18.57	19.18	19.80	20.45	21.11	21.80	22.51	23.25	24.01	24.79	25.61	26.45	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.41	41.76	43.17	44.62	46.13	47.69	49.31	50.98	52.72	54.52	56.39	58.33	60.34	62.43	64.59	66.84	69.18	71.60	74.12	76.74	79.46	82.29	85.24	88.30	91.49	94.80	98.26	101.86	105.61	109.52	113.60	117.86	122.30	126.94	131.79	136.85	142.15	147.69	153.49	159.56	165.93	172.59	179.59	186.92	194.62	202.71	211.21	220.14	229.54	239.44	249.85	260.82	272.39	284.59	297.45	311.03	325.37	340.52	356.53	373.46	391.36	410.30	430.34	451.56	474.03	497.83	523.04	549.76	578.09	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	4	10	8	8	10	17	15	21	9	15	14	19	31	30	32	57	37	49	43	67	81	71	75	94	119	125	134	129	143	195	198	207	209	254	271	332	331	318	393	434	456	526	547	562	615	690	717	719	854	864	899	971	975	1030	1103	1068	1112	1092	1117	1161	1144	1138	1170	1174	1135	1052	1073	1091	1103	1024	958	976	868	961	994	996	923	934	1037	1094	1171	1154	994	833	808	1037	1227	1326	1220	887	662	365	213	163	163	400	878	1278	1524	1431	1058	677	429	214	124	81	68	81	98	77	66	50	22	10	8	9	3	0	3	1	273.385	273.385	0.009	0.027	0	0	0	0
231031	18:17:47.862	231031	18:19:47.858	165	285	299.616	950.415	0.318	4.995	-1.000	0.759	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.43	17.99	18.57	19.18	19.80	20.45	21.11	21.80	22.51	23.25	24.01	24.79	25.61	26.45	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.41	41.76	43.17	44.62	46.13	47.69	49.30	50.98	52.72	54.52	56.39	58.33	60.34	62.43	64.59	66.84	69.18	71.60	74.12	76.74	79.46	82.29	85.23	88.30	91.48	94.80	98.26	101.86	105.61	109.52	113.60	117.86	122.30	126.94	131.79	136.85	142.15	147.69	153.49	159.56	165.92	172.59	179.58	186.92	194.62	202.71	211.21	220.14	229.54	239.43	249.85	260.82	272.39	284.58	297.45	311.03	325.37	340.52	356.53	373.46	391.36	410.30	430.34	451.56	474.03	497.83	523.04	549.76	578.09	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	12	7	15	15	8	14	16	19	20	16	19	31	31	24	35	32	45	34	61	61	77	65	80	127	112	111	159	172	166	201	219	204	263	271	324	307	343	436	447	446	542	515	558	651	592	721	778	767	847	896	954	983	1013	1067	1059	1126	1148	1235	1186	1320	1336	1294	1297	1222	1201	1178	1166	1110	1172	1001	1132	1001	1133	1116	1129	1093	1020	1013	1054	1185	1295	1176	1090	844	935	1129	1349	1456	1406	1027	706	431	270	172	192	457	908	1430	1675	1553	1128	728	415	223	151	96	63	69	95	84	69	32	23	12	11	7	4	5	1	1	273.385	273.385	0.006	0.022	0	0	0	0
231031	18:20:11.965	231031	18:22:11.968	309	429	299.605	950.511	0.307	5.001	-1.000	0.758	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.42	17.99	18.57	19.18	19.80	20.45	21.11	21.80	22.51	23.25	24.01	24.79	25.60	26.45	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.41	41.76	43.16	44.62	46.13	47.69	49.30	50.98	52.72	54.52	56.39	58.33	60.34	62.42	64.59	66.84	69.17	71.60	74.12	76.74	79.46	82.29	85.23	88.29	91.48	94.80	98.26	101.86	105.61	109.52	113.60	117.85	122.30	126.94	131.78	136.85	142.15	147.69	153.49	159.56	165.92	172.59	179.58	186.92	194.62	202.70	211.20	220.14	229.54	239.43	249.84	260.82	272.38	284.58	297.45	311.03	325.37	340.52	356.53	373.45	391.36	410.29	430.34	451.56	474.03	497.83	523.04	549.76	578.09	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	10	17	18	10	12	12	8	10	20	20	23	20	30	30	25	33	48	38	55	76	68	73	80	95	98	103	171	157	164	157	181	201	230	252	274	346	342	345	429	448	497	536	566	592	671	671	756	780	825	847	904	981	1001	1011	1079	1079	1064	1105	1155	1168	1241	1212	1159	1206	1159	1193	1163	1168	1103	1083	1104	1053	987	1082	1010	1037	1081	994	1043	1137	1227	1210	1030	821	899	1108	1383	1452	1295	1000	741	455	247	170	200	469	822	1288	1580	1434	1018	713	384	253	133	77	55	70	73	68	64	22	13	4	7	8	3	7	1	1	273.385	273.385	0.007	0.025	0	0	0	0
231031	18:22:36.078	231031	18:24:36.083	453	573	299.585	950.417	0.317	5.002	-1.000	0.759	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.43	17.99	18.57	19.18	19.80	20.45	21.11	21.80	22.51	23.25	24.01	24.79	25.61	26.45	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.41	41.76	43.17	44.62	46.13	47.69	49.30	50.98	52.72	54.52	56.39	58.33	60.34	62.43	64.59	66.84	69.18	71.60	74.12	76.74	79.46	82.29	85.23	88.30	91.48	94.80	98.26	101.86	105.61	109.52	113.60	117.86	122.30	126.94	131.79	136.85	142.15	147.69	153.49	159.56	165.92	172.59	179.58	186.92	194.62	202.71	211.21	220.14	229.54	239.43	249.85	260.82	272.39	284.58	297.45	311.03	325.37	340.52	356.53	373.46	391.36	410.30	430.34	451.56	474.03	497.83	523.04	549.76	578.09	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	17	17	9	9	16	16	12	20	15	22	17	22	34	24	28	44	47	65	61	62	69	77	102	106	101	128	125	184	157	211	242	244	276	299	339	326	388	439	458	415	537	611	603	623	707	665	820	821	848	927	977	1036	1065	1129	1213	1198	1125	1215	1232	1254	1229	1272	1238	1265	1293	1289	1190	1203	1218	1168	1156	1094	1040	1082	1132	1054	1140	1066	1085	1217	1271	1292	1053	917	900	1109	1336	1485	1382	1061	758	480	273	207	231	423	942	1413	1579	1507	1100	794	479	242	145	96	73	63	102	77	67	42	20	11	8	3	4	4	1	0	273.385	273.385	0.007	0.029	0	0	0	0
231031	18:25:00.193	231031	18:27:00.195	597	717	299.562	950.458	0.311	4.999	-1.000	0.759	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.42	17.99	18.57	19.18	19.80	20.45	21.11	21.80	22.51	23.25	24.01	24.79	25.60	26.45	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.41	41.76	43.16	44.62	46.13	47.69	49.30	50.98	52.72	54.52	56.39	58.33	60.34	62.42	64.59	66.84	69.17	71.60	74.12	76.74	79.46	82.29	85.23	88.29	91.48	94.80	98.26	101.86	105.61	109.52	113.60	117.85	122.30	126.94	131.78	136.85	142.15	147.69	153.49	159.56	165.92	172.59	179.58	186.92	194.62	202.71	211.20	220.14	229.54	239.43	249.85	260.82	272.38	284.58	297.45	311.03	325.37	340.52	356.53	373.45	391.36	410.29	430.34	451.56	474.03	497.83	523.04	549.76	578.09	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	12	17	9	12	12	8	11	21	11	15	17	20	29	18	26	38	34	52	54	74	62	59	110	96	132	122	152	165	178	185	199	255	272	300	338	355	341	371	432	460	485	552	580	622	630	749	754	822	840	870	886	981	992	1091	1080	1182	1140	1224	1329	1267	1317	1331	1346	1325	1195	1290	1132	1176	1144	1119	1067	1087	1131	1050	1117	1061	1104	1051	1086	1181	1197	1257	1095	828	917	1077	1400	1531	1331	1053	713	431	250	211	180	424	855	1346	1580	1482	1121	720	429	242	149	66	82	81	92	75	54	41	8	11	15	7	4	1	3	0	273.385	273.385	0.011	0.027	0	0	0	0
231031	18:27:24.307	231031	18:29:24.306	742	862	299.559	950.604	0.305	4.999	-1.000	0.758	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.42	17.99	18.57	19.18	19.80	20.45	21.11	21.80	22.51	23.25	24.01	24.79	25.60	26.45	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.41	41.76	43.16	44.62	46.13	47.69	49.30	50.98	52.72	54.52	56.39	58.33	60.34	62.42	64.59	66.84	69.17	71.60	74.12	76.74	79.46	82.29	85.23	88.29	91.48	94.80	98.26	101.86	105.61	109.52	113.60	117.85	122.30	126.94	131.78	136.85	142.15	147.69	153.49	159.56	165.92	172.59	179.58	186.92	194.62	202.70	211.20	220.14	229.54	239.43	249.84	260.82	272.38	284.58	297.45	311.03	325.37	340.52	356.53	373.45	391.35	410.29	430.34	451.56	474.02	497.82	523.04	549.76	578.09	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	9	5	10	5	12	12	25	8	16	14	19	12	31	36	25	35	40	52	48	62	69	61	68	100	93	108	132	156	164	162	175	203	245	254	297	300	357	366	422	452	477	477	464	486	535	638	684	804	778	821	847	897	909	979	935	1089	1170	1118	1252	1148	1230	1317	1157	1222	1239	1197	1152	1135	1082	1052	1098	988	1089	1035	1062	1089	1146	1057	1079	1231	1327	1227	1127	910	862	1161	1317	1546	1288	939	728	492	321	184	201	447	883	1376	1607	1466	1080	737	428	242	149	84	96	112	86	92	55	40	18	17	9	9	5	8	0	0	273.385	273.385	0.014	0.026	0	0	0	0
231031	18:29:48.421	231031	18:31:48.425	886	1006	299.543	950.543	0.311	4.997	-1.000	0.758	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.42	17.99	18.57	19.18	19.80	20.45	21.11	21.80	22.51	23.25	24.01	24.79	25.60	26.45	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.41	41.76	43.16	44.62	46.13	47.69	49.30	50.98	52.72	54.52	56.39	58.33	60.34	62.42	64.59	66.84	69.17	71.60	74.12	76.74	79.46	82.29	85.23	88.29	91.48	94.80	98.26	101.86	105.61	109.52	113.60	117.85	122.30	126.94	131.78	136.85	142.15	147.69	153.49	159.56	165.92	172.59	179.58	186.92	194.62	202.70	211.20	220.14	229.54	239.43	249.85	260.82	272.38	284.58	297.45	311.03	325.37	340.52	356.53	373.45	391.36	410.29	430.34	451.56	474.03	497.83	523.04	549.76	578.09	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	9	7	15	3	15	11	12	11	19	16	16	22	22	22	29	30	29	48	46	71	53	56	89	90	82	97	138	131	167	188	190	233	270	225	290	303	316	403	347	418	463	507	557	595	655	664	717	722	815	809	988	996	926	1059	1070	1095	1174	1258	1229	1256	1382	1259	1348	1308	1278	1225	1286	1258	1099	1222	1139	1165	1037	1116	1017	1106	1110	1037	1126	1192	1329	1222	1059	887	915	1222	1385	1509	1369	1014	738	470	275	214	208	444	954	1354	1660	1446	1197	713	362	258	123	101	69	108	104	111	66	54	20	16	7	11	1	1	1	0	273.385	273.385	0.009	0.024	0	0	0	0
231031	18:32:12.527	231031	18:34:12.530	1030	1150	299.547	950.610	0.306	4.997	-1.000	0.758	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.42	17.99	18.57	19.18	19.80	20.44	21.11	21.80	22.51	23.25	24.01	24.79	25.60	26.44	27.31	28.21	29.14	30.10	31.10	32.13	33.19	34.29	35.43	36.61	37.83	39.10	40.40	41.76	43.16	44.62	46.12	47.68	49.30	50.98	52.72	54.52	56.39	58.32	60.33	62.42	64.59	66.84	69.17	71.60	74.12	76.73	79.45	82.28	85.23	88.29	91.48	94.80	98.25	101.85	105.60	109.51	113.59	117.85	122.29	126.93	131.78	136.84	142.14	147.68	153.48	159.55	165.91	172.58	179.57	186.91	194.61	202.70	211.20	220.13	229.53	239.42	249.84	260.81	272.38	284.57	297.44	311.02	325.36	340.51	356.52	373.45	391.35	410.29	430.33	451.55	474.02	497.82	523.04	549.76	578.08	608.12	639.96	673.74	709.57	747.59	787.94	830.76	876.23	13	8	5	10	9	17	14	8	12	10	17	20	36	20	27	22	25	44	38	63	73	63	63	82	82	121	134	112	111	181	171	212	236	278	267	310	319	339	394	412	490	469	504	573	564	618	666	702	766	817	868	846	902	959	1052	1061	1056	1140	1226	1189	1218	1209	1243	1189	1127	1242	1127	1139	1037	1129	1157	1057	1127	1104	1103	1129	1062	1031	1113	1187	1200	1221	1046	872	891	1132	1359	1443	1389	1000	765	516	365	203	235	443	942	1394	1629	1491	1152	747	434	241	156	100	73	111	91	107	72	47	21	18	20	10	9	3	3	4	273.385	273.385	0.008	0.028	0	0	0	0
231031	18:34:36.644	231031	18:36:36.642	1174	1294	299.546	950.813	0.292	5.001	-1.000	0.756	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.42	17.99	18.57	19.18	19.80	20.44	21.11	21.80	22.51	23.25	24.01	24.79	25.60	26.44	27.31	28.21	29.14	30.10	31.10	32.12	33.19	34.29	35.43	36.61	37.83	39.09	40.40	41.76	43.16	44.62	46.12	47.68	49.30	50.98	52.72	54.52	56.39	58.32	60.33	62.42	64.59	66.83	69.17	71.59	74.11	76.73	79.45	82.28	85.23	88.29	91.48	94.79	98.25	101.85	105.60	109.51	113.59	117.85	122.29	126.93	131.78	136.84	142.14	147.68	153.48	159.55	165.91	172.58	179.57	186.91	194.61	202.70	211.19	220.13	229.53	239.42	249.84	260.81	272.37	284.57	297.44	311.02	325.36	340.51	356.52	373.45	391.35	410.29	430.33	451.55	474.02	497.82	523.04	549.76	578.08	608.11	639.96	673.74	709.57	747.59	787.94	830.76	876.23	6	7	10	5	10	19	5	11	10	21	19	22	21	25	36	24	33	58	38	46	67	58	78	71	68	102	103	113	160	119	205	198	190	220	200	306	275	300	308	388	434	471	460	491	537	605	623	636	600	697	711	764	819	863	858	928	970	979	1012	1005	1032	1016	960	1072	1011	1083	1108	1013	1032	1032	1040	953	1006	999	951	1001	979	999	985	1202	1195	1104	971	783	719	1061	1315	1405	1314	1040	676	461	303	169	197	428	829	1291	1559	1438	1111	711	407	227	122	97	83	93	114	91	67	40	22	15	16	4	4	2	4	0	273.385	273.385	0.008	0.025	0	0	0	0
231031	18:37:00.744	231031	18:39:00.751	1318	1438	299.564	950.656	0.308	5.000	-1.000	0.757	120	10.16	10.49	10.82	11.17	11.53	11.90	12.28	12.68	13.09	13.51	13.94	14.39	14.86	15.34	15.84	16.35	16.88	17.42	17.99	18.57	19.18	19.80	20.44	21.11	21.80	22.51	23.25	24.01	24.79	25.60	26.44	27.31	28.21	29.14	30.10	31.10	32.12	33.19	34.29	35.43	36.61	37.83	39.09	40.40	41.76	43.16	44.62	46.12	47.68	49.30	50.98	52.71	54.52	56.38	58.32	60.33	62.42	64.59	66.83	69.17	71.59	74.11	76.73	79.45	82.28	85.23	88.29	91.48	94.79	98.25	101.85	105.60	109.51	113.59	117.85	122.29	126.93	131.78	136.84	142.14	147.68	153.48	159.55	165.91	172.58	179.57	186.91	194.61	202.70	211.19	220.13	229.53	239.42	249.84	260.81	272.37	284.57	297.44	311.02	325.36	340.51	356.52	373.45	391.35	410.29	430.33	451.55	474.02	497.82	523.03	549.76	578.08	608.11	639.96	673.74	709.57	747.59	787.94	830.76	876.23	10	16	7	13	3	12	9	12	30	18	22	18	12	33	30	42	30	64	41	52	69	78	75	75	84	129	135	128	152	180	180	214	205	239	250	322	311	334	377	405	459	458	483	540	560	642	626	712	746	774	878	794	883	912	970	950	1018	1048	1057	1110	1069	1140	1108	1165	1140	1130	1032	1041	980	1059	1049	1042	1070	1059	1067	1055	1069	1066	1147	1173	1317	1220	1071	808	889	1093	1444	1433	1435	1069	687	475	310	238	230	464	908	1369	1640	1467	1171	675	442	252	157	81	81	128	93	105	85	51	18	16	9	9	5	3	1	3	273.385	273.385	0.010	0.027	0	0	0	0
